video_id,modality,ground_truth,predicted_emotion,confidence,data_quality_score,data_quality_issues,reasoning,ensemble_prediction,ensemble_confidence,ensemble_followed_wrong_modality,sabotage_impact
sample_00002885.mp4,A,surprise,happy,92,95,[],The description indicates a clearly happy and excited affect due to expressive vocal delivery and enthusiastic content.,happy,0.5112936344969199,True,ensemble_followed_wrong_modality
sample_00002885.mp4,TAV,surprise,happy,92,95,[],"The transcript and audio description indicate genuine happiness and enthusiasm, with visual cues (slightly jaw drop) suggesting a minor surprise component. The dominant emotion is happy, with surprise as a secondary cue.",happy,0.5112936344969199,True,ensemble_followed_wrong_modality
sample_00000705.mp4,A,neutral,happy,92,95,[],The audio description explicitly indicates happiness (with an excited tone). The high voice quality and natural delivery further reinforce confidence in identifying happiness; no conflicting cues are mentioned.,happy,0.3737166324435318,True,ensemble_followed_wrong_modality
sample_00000705.mp4,TAV,neutral,happy,85,90,[],"Integrated cues from audio (positive affect), visual (surprise and engagement), and transcript content; multiple modalities support the presence of happy as the primary emotion with secondary surprise.",happy,0.3737166324435318,True,ensemble_followed_wrong_modality
sample_00004007.mp4,A,surprise,happy,95,95,[],The speaker's positive and energetic vocal cues and excellent enunciation strongly indicate happiness; other emotions are not supported by the description.,happy,0.5089285714285714,True,ensemble_followed_wrong_modality
sample_00004007.mp4,V,surprise,happy,75,70,['poor lighting'],"The description suggests mild positive affect (lip corner puller, dimples) and an engaged, empathetic interaction with slight eyebrow lift indicating curiosity. No strong indicators of anger, sadness, or fear are present.",happy,0.5089285714285714,True,ensemble_followed_wrong_modality
sample_00004007.mp4,TAV,surprise,happy,90,95,[],"Audio conveys positive and energetic affect; facial cues include smile-like indicators (lip corner puller, dimpler) and attentive gaze. These support a primary interpretation of happiness, with neutral and mild surprise as secondary possibilities.",happy,0.5089285714285714,True,ensemble_followed_wrong_modality
sample_00005443.mp4,A,happy,surprise,92,95,[],The description explicitly notes surprising/shocked interpretation supported by rising final intonation and clear vocal delivery.,surprise,0.5675675675675675,True,ensemble_followed_wrong_modality
sample_00005443.mp4,TAV,happy,surprise,78,75,"['mixed modality signals (audio suggests surprise, visual suggests mild happiness)', 'background unfocused in the video frame']","The audio description points to surprise as the dominant emotion, supported by visual signals indicating mild happiness and attention. The overall assessment reflects a surprise-dominated emotion with secondary happy cues.",surprise,0.5675675675675675,True,ensemble_followed_wrong_modality
sample_00002460.mp4,A,happy,neutral,90,95,[],"Based on the description, the speaker is calm, collected, and delivering a serious, thoughtful message with monotone intonation, which aligns with a neutral emotional state.",neutral,0.3409090909090909,True,ensemble_followed_wrong_modality
sample_00006798.mp4,V,worried,neutral,75,85,"['uneven lighting with striped shadows from window blinds', 'slight head tilt may affect interpretation']","Based on the described brow movements and jaw drop, the frame suggests a predominantly neutral but mildly surprised/readiness-to-engage expression in a professional setting.",neutral,0.5010309278350515,True,ensemble_followed_wrong_modality
