video_id,modality,ground_truth,predicted_emotion,confidence,data_quality_score,data_quality_issues,reasoning,ensemble_prediction,ensemble_confidence,ensemble_followed_wrong_modality,sabotage_impact
dia175_utt3.mp4,V,surprise,joy,85,85,"[""partial occlusion of the woman's face (back partially to viewer)"", 'two-person interaction may introduce ambiguity in per-subject expression']","The facial action indicators point to a genuine smile and raised cheeks, consistent with joy, while some minor cues could hint at surprise. The scene's playful, lighthearted context supports the joy interpretation.",joy,0.2822185970636215,True,ensemble_followed_wrong_modality
dia175_utt3.mp4,TAV,surprise,joy,85,85,['whispered speech leading to reduced audio clarity'],"The scene shows playful teasing and lighthearted interaction. Facial cues (lip corner puller, cheek raise) align with joy; slight jaw drop and raised lids indicate mild surprise. The negative tone described in audio is inconsistent with the mainly positive visual cues, suggesting a mix or sarcasm. Overall, joy is the most confident emotion, with surprise as secondary; data quality is good with minor audio clarity issues due to whispering.",joy,0.2822185970636215,True,ensemble_followed_wrong_modality
dia169_utt6.mp4,A,anger,neutral,95,95,[],"The description suggests a confident, determined delivery without explicit emotional coloring beyond neutral-leaning confidence, so neutral is the most appropriate primary emotion.",neutral,0.3125,True,ensemble_followed_wrong_modality
dia279_utt14.mp4,V,neutral,disgust,70,70,"['mixed cues across multiple emotions', 'no audio context to disambiguate', 'expression cues may reflect contemplation or concern rather than discrete emotion']",The analysis identifies potential discrete emotions from facial cues and notes the overlap and context-based interpretation.,disgust,0.16759776536312848,True,ensemble_followed_wrong_modality
dia239_utt7.mp4,V,neutral,surprise,92,90,[],"Facial actions indicate a strong response consistent with surprise (jaw drop, open mouth). Additional cues like nose wrinkling point to possible disgust, and slight brow tension could imply mild frustration; however, surprise is the dominant inferred emotion from the given cues and context.",surprise,0.3,True,ensemble_followed_wrong_modality
dia115_utt4.mp4,T,neutral,fear,75,65,"['brief content', 'whispered speech']","The phrase 'shrieking' suggests high arousal consistent with fear; 'like a Marine' implies aggressive intensity, supporting anger; there is ambiguity for other emotions, with surprise as a secondary cue.",fear,0.23255813953488372,True,ensemble_followed_wrong_modality
dia245_utt4.mp4,TAV,fear,surprise,80,85,[],"The strongest cues indicate a surprising moment (moderate jaw drop and brow movement) with some negative valence suggested by the context ('No-no-no'). Subtle cues also allow for possible fear or mild joy, but surprise is the dominant signal.",surprise,0.2214765100671141,True,ensemble_followed_wrong_modality
dia42_utt2.mp4,A,neutral,sadness,85,90,[],"The description points to sadness/disappointment with a clear voice and no disfluencies, supporting sadness as the primary emotion with high confidence.",sadness,0.45614035087719296,True,ensemble_followed_wrong_modality
dia42_utt2.mp4,TAV,neutral,sadness,75,85,['ambiguous emotional cues due to mixed cues'],"Integrated cues from transcript, audio description, and visuals suggest a sadness/concernful contemplative state; no major data quality issues.",sadness,0.45614035087719296,True,ensemble_followed_wrong_modality
dia120_utt18.mp4,A,neutral,anger,85,70,"['description-based input; no actual audio to verify', 'subjective interpretation of tone', 'potential bias in perceiving emotion from text alone']",The description indicates a negative tone with explicit reference to anger or upset; anger is identified as the primary emotion with high confidence. Other emotions are not clearly supported by the provided cues.,anger,0.4054621848739496,True,ensemble_followed_wrong_modality
dia233_utt5.mp4,A,joy,neutral,95,100,[],"Audio_description indicates a neutral emotional tone with no salient vocal features, leading to high confidence in neutral as the primary emotion.",neutral,0.4124748490945674,True,ensemble_followed_wrong_modality
dia169_utt5.mp4,A,surprise,joy,90,85,[],"The description indicates a positive tonal cue, most consistent with joy. No other explicit emotional cues are provided.",joy,0.4327390599675851,True,ensemble_followed_wrong_modality
dia169_utt5.mp4,V,surprise,joy,92,90,[],"The foreground person shows a positive affect consistent with joy; additional cues indicate mild surprise, but no other emotions are strongly supported by the data.",joy,0.4327390599675851,True,ensemble_followed_wrong_modality
dia169_utt5.mp4,TAV,surprise,joy,85,75,"['conflicting cues between transcript (jealous/frustrated line) and positive/playful on-screen interactions', 'whispered speech may reduce transcription accuracy', 'multiple subjects in frame could cause ambiguity about whose emotion is being analyzed']","The scene depicts a playful, joyful interaction among three people, with secondary surprise cues. Data quality is decent but limited by cross-modal inconsistencies and whispers.",joy,0.4327390599675851,True,ensemble_followed_wrong_modality
dia244_utt6.mp4,V,disgust,anger,85,90,[],"The description indicates an intense, frustrated/disbelieving expression with a furrowed brow and pursed lips. AU indicators align most with anger, with some potential for secondary emotions such as disgust or sadness due to mouth movements.",anger,0.35490605427974947,True,ensemble_followed_wrong_modality
dia244_utt6.mp4,TAV,disgust,anger,85,70,"['inconsistent cues about hesitations in speech', 'ambiguity between anger and sadness due to facial cues']","The scene presents a strong negative, intense expression with a negative vocal tone, most consistent with anger as the primary emotion. Some facial cues also align with sadness, indicating a secondary emotion with lower confidence.",anger,0.35490605427974947,True,ensemble_followed_wrong_modality
dia17_utt17.mp4,TAV,fear,surprise,78,60,"['unclear speech', 'brief content']","Multiple modalities provide overlapping but sometimes conflicting signals: visual cues point to surprise and potential joy, while the audio suggests negativity or tension. This results in a mixture of probable emotions with varying confidence.",surprise,0.2561307901907357,True,ensemble_followed_wrong_modality
dia244_utt7.mp4,V,disgust,anger,82,90,[],"The subject shows strong indicators of anger (furrowed brows, strongly pressed lips, brow lowering, lid tightening) with concurrent cues that may reflect disgust (nose wrinkler, upper lip raiser, lip corner depressor) and mild fear. The jaw drop is minimal, suggesting only mild surprise rather than full astonishment. Overall, the dominant emotion is anger with secondary disgust and fear.",anger,0.2523364485981308,True,ensemble_followed_wrong_modality
dia244_utt7.mp4,TAV,disgust,anger,80,60,"['conflicting cues between audio (positive tone) and visual cues of tension (anger/disgust)', 'mixed facial cues suggesting multiple emotions', 'context limited (transcript fragment provides minimal narrative)']","The scene shows furrowed brows and pressed lips (likely anger/frustration) with surrounding cues suggesting disgust or sadness; audio tone contradicts some cues, resulting in a moderate confidence across multiple emotions.",anger,0.2523364485981308,True,ensemble_followed_wrong_modality
dia97_utt8.mp4,V,fear,joy,92,90,[],"The described facial actions (lip corner puller, cheek rasier) and warm conversational context strongly indicate joy; slight jaw drop introduces a minor surprise signal but does not outweigh the joyful cues.",joy,0.40979955456570155,True,ensemble_followed_wrong_modality
